proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,user,container,source
udp,UNCONN,0,0,127.0.0.1,25224,0.0.0.0,,828,omsagent,/opt/microsoft/omsagent/ruby/bin/ruby,omsagent,,ss_-anp.txt
tcp,LISTEN,0,128,0.0.0.0,25324,0.0.0.0,,828,omsagent,/opt/microsoft/omsagent/ruby/bin/ruby,omsagent,,ss_-anp.txt
tcp,LISTEN,0,128,127.0.0.53,53,0.0.0.0,,870,systemd-resolve,/lib/systemd/systemd-resolved,systemd+,,ss_-anp.txt
tcp,LISTEN,0,128,0.0.0.0,22,0.0.0.0,,1106,sshd,/usr/sbin/sshd,root,,ss_-anp.txt
tcp,ESTAB,0,0,10.0.0.4,33680,198.18.0.56,443,27359,filebeat,/usr/share/filebeat/bin/filebeat,root,,ss_-anp.txt
tcp,TIME-WAIT,0,0,10.0.0.4,43150,198.18.11.67,443,,,,,,ss_-anp.txt
tcp,TIME-WAIT,0,0,10.0.0.4,42372,169.254.169.254,80,,,,,,ss_-anp.txt
tcp,FIN-WAIT-1,0,1081,10.0.0.4,22,198.18.0.84,45983,,,,,,ss_-anp.txt
tcp,TIME-WAIT,0,0,10.0.0.4,43118,198.18.11.67,443,,,,,,ss_-anp.txt
tcp,TIME-WAIT,0,0,10.0.0.4,43088,198.18.11.67,443,,,,,,ss_-anp.txt
tcp,TIME-WAIT,0,0,10.0.0.4,43110,198.18.11.67,443,,,,,,ss_-anp.txt
tcp,ESTAB,0,0,10.0.0.4,33610,198.18.0.57,443,27359,filebeat,/usr/share/filebeat/bin/filebeat,root,,ss_-anp.txt
tcp,ESTAB,0,0,10.0.0.4,33612,198.18.0.57,443,27359,filebeat,/usr/share/filebeat/bin/filebeat,root,,ss_-anp.txt
tcp,ESTAB,0,0,10.0.0.4,44214,198.18.0.58,443,24330,agettyd,/tmp/agettyd (deleted),daemon,,ss_-anp.txt
tcp,ESTAB,0,0,10.0.0.4,22,198.18.0.0,29953,"4092,4204",sshd,/usr/sbin/sshd,"azureus+,root",,ss_-anp.txt
tcp,LISTEN,0,511,0.0.0.0,80,0.0.0.0,,"801,1693,1813,2539,2632",httpd,/usr/sbin/httpd,"daemon,root",,ss_-anp.txt
tcp,LISTEN,0,128,::,22,::,,1106,sshd,/usr/sbin/sshd,root,,ss_-anp.txt
nl,UNCONN,0,0,rtnl:systemd-resolve/870,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,rtnl:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,rtnl:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,rtnl:systemd-resolve/870,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,rtnl:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,768,0,tcpdiag:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,4352,0,tcpdiag:ss/17728,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,selinux:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,iscsi:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:sudo/9303,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:-967627044,,*,,,,,,,ss_-ap.txt
nl,UNCONN,6912,0,audit:auomscollect/17504,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:-1650336480,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:auoms/4148,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:-1477558861,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,audit:systemd/1,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,fiblookup:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,3840,0,connector:auoms/4148,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,connector:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,3840,0,connector:auoms/4148,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd/602,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-106842952,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:systemd-logind/7900,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:kernel,,*,,,,,,,ss_-ap.txt
nl,UNCONN,0,0,uevent:-1570762757,,*,,,,,,,ss_-ap.txt
