path,host_path,top_level,category,size_bytes,size_human,parsed_into
[root]/etc/apparmor.d/lxc-containers,/etc/apparmor.d/lxc-containers,[root],host filesystem copy,205,205 B,MAC_POLICY
[root]/etc/apparmor.d/lxc/lxc-default,/etc/apparmor.d/lxc/lxc-default,[root],host filesystem copy,490,490 B,MAC_POLICY
[root]/etc/apparmor.d/lxc/lxc-default-cgns,/etc/apparmor.d/lxc/lxc-default-cgns,[root],host filesystem copy,586,586 B,MAC_POLICY
[root]/etc/apparmor.d/lxc/lxc-default-with-mounting,/etc/apparmor.d/lxc/lxc-default-with-mounting,[root],host filesystem copy,558,558 B,MAC_POLICY
[root]/etc/apparmor.d/lxc/lxc-default-with-nesting,/etc/apparmor.d/lxc/lxc-default-with-nesting,[root],host filesystem copy,587,587 B,MAC_POLICY
[root]/etc/apparmor.d/sbin.dhclient,/etc/apparmor.d/sbin.dhclient,[root],host filesystem copy,3299,3.2 KB,MAC_POLICY
[root]/etc/apparmor.d/tunables/alias,/etc/apparmor.d/tunables/alias,[root],host filesystem copy,640,640 B,
[root]/etc/apparmor.d/tunables/apparmorfs,/etc/apparmor.d/tunables/apparmorfs,[root],host filesystem copy,387,387 B,
[root]/etc/apparmor.d/tunables/dovecot,/etc/apparmor.d/tunables/dovecot,[root],host filesystem copy,824,824 B,
[root]/etc/apparmor.d/tunables/global,/etc/apparmor.d/tunables/global,[root],host filesystem copy,714,714 B,
[root]/etc/apparmor.d/tunables/home,/etc/apparmor.d/tunables/home,[root],host filesystem copy,1008,1008 B,
[root]/etc/apparmor.d/tunables/home.d/site.local,/etc/apparmor.d/tunables/home.d/site.local,[root],host filesystem copy,647,647 B,
[root]/etc/apparmor.d/tunables/home.d/ubuntu,/etc/apparmor.d/tunables/home.d/ubuntu,[root],host filesystem copy,344,344 B,
[root]/etc/apparmor.d/tunables/kernelvars,/etc/apparmor.d/tunables/kernelvars,[root],host filesystem copy,850,850 B,
[root]/etc/apparmor.d/tunables/multiarch,/etc/apparmor.d/tunables/multiarch,[root],host filesystem copy,648,648 B,
[root]/etc/apparmor.d/tunables/multiarch.d/site.local,/etc/apparmor.d/tunables/multiarch.d/site.local,[root],host filesystem copy,659,659 B,
[root]/etc/apparmor.d/tunables/proc,/etc/apparmor.d/tunables/proc,[root],host filesystem copy,452,452 B,
[root]/etc/apparmor.d/tunables/securityfs,/etc/apparmor.d/tunables/securityfs,[root],host filesystem copy,442,442 B,
[root]/etc/apparmor.d/tunables/sys,/etc/apparmor.d/tunables/sys,[root],host filesystem copy,378,378 B,
[root]/etc/apparmor.d/tunables/xdg-user-dirs,/etc/apparmor.d/tunables/xdg-user-dirs,[root],host filesystem copy,892,892 B,
