indicator,seen_in_count,seen_in
198.18.1.82,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.83,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.84,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.85,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.86,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.87,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.88,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.89,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.90,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.91,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.92,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.93,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.94,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.95,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.96,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.97,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.98,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.99,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.100,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.1.101,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.102,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.103,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.104,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.105,1,/var/log/auth.log.3.gz
198.18.1.106,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.107,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.108,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.109,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.110,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.111,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.112,1,/var/log/btmp.1
198.18.1.113,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.114,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.115,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.116,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.117,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.118,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.119,2,/var/log/auth.log; /var/log/btmp
198.18.1.120,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.121,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.122,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.123,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.124,2,/var/log/auth.log.3.gz; /var/log/btmp.1
198.18.0.118,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.1.125,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.126,3,/var/log/auth.log.1; /var/log/btmp; failed authentication source
198.18.1.127,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.1.128,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.1.129,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.1.130,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.131,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.132,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.133,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.0.117,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.0.114,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.1.134,1,/var/log/auth.log.1
198.18.1.135,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.136,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.137,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.138,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.0.115,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.0.24,6,/var/log/auth.log.1; /var/log/auth.log.3.gz; /var/log/btmp; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.139,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.0.119,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.1.140,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.1.141,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.142,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.143,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.111,4,/var/log/auth.log; /var/log/btmp; failed authentication source; password spraying source
198.18.1.144,2,/var/log/auth.log.3.gz; /var/log/btmp.1
198.18.1.145,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.146,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.147,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.148,4,/var/log/auth.log.1; /var/log/btmp; failed authentication source; password spraying source
198.18.1.149,4,/var/log/auth.log.3.gz; /var/log/btmp.1; failed authentication source; password spraying source
198.18.1.150,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.151,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.152,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.153,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.154,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.155,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.1.156,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.157,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.1.158,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.159,3,/var/log/auth.log.1; /var/log/auth.log.2.gz; /var/log/auth.log.3.gz
198.18.1.160,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.161,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.162,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.163,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.164,1,/var/log/auth.log.3.gz
